year_film,year_ceremony,ceremony,category,name,film,winner
2024,2025,97,ACTOR IN A LEADING ROLE,Adrien Brody,The Brutalist,TRUE
2024,2025,97,ACTOR IN A LEADING ROLE,Timothée Chalamet,A Complete Unknown,FALSE
2024,2025,97,ACTOR IN A LEADING ROLE,Colman Domingo,Sing Sing,FALSE
2024,2025,97,ACTOR IN A LEADING ROLE,Ralph Fiennes,Conclave,FALSE
2024,2025,97,ACTOR IN A LEADING ROLE,Sebastian Stan,The Apprentice,FALSE
2024,2025,97,ACTOR IN A SUPPORTING ROLE,Yura Borisov,Anora,FALSE
2024,2025,97,ACTOR IN A SUPPORTING ROLE,Kieran Culkin,A Real Pain,TRUE
2024,2025,97,ACTOR IN A SUPPORTING ROLE,Edward Norton,A Complete Unknown,FALSE
2024,2025,97,ACTOR IN A SUPPORTING ROLE,Guy Pearce,The Brutalist,FALSE
2024,2025,97,ACTOR IN A SUPPORTING ROLE,Jeremy Strong,The Apprentice,FALSE
2024,2025,97,ACTRESS IN A LEADING ROLE,Cynthia Erivo,Wicked,FALSE
2024,2025,97,ACTRESS IN A LEADING ROLE,Karla Sofía Gascón,Emilia Pérez,FALSE
2024,2025,97,ACTRESS IN A LEADING ROLE,Mikey Madison,Anora,TRUE
2024,2025,97,ACTRESS IN A LEADING ROLE,Demi Moore,The Substance,FALSE
2024,2025,97,ACTRESS IN A LEADING ROLE,Fernanda Torres,I'm Still Here,FALSE
2024,2025,97,ACTRESS IN A SUPPORTING ROLE,Monica Barbaro,A Complete Unknown,FALSE
2024,2025,97,ACTRESS IN A SUPPORTING ROLE,Ariana Grande,Wicked,FALSE
2024,2025,97,ACTRESS IN A SUPPORTING ROLE,Felicity Jones,The Brutalist,FALSE
2024,2025,97,ACTRESS IN A SUPPORTING ROLE,Isabella Rossellini,Conclave,FALSE
2024,2025,97,ACTRESS IN A SUPPORTING ROLE,Zoe Saldaña,Emilia Pérez,TRUE
2024,2025,97,DIRECTING,Sean Baker,Anora,TRUE
2024,2025,97,DIRECTING,Brady Corbet,The Brutalist,FALSE
2024,2025,97,DIRECTING,James Mangold,A Complete Unknown,FALSE
2024,2025,97,DIRECTING,Jacques Audiard,Emilia Pérez,FALSE
2024,2025,97,DIRECTING,Coralie Fargeat,The Substance,FALSE
2024,2025,97,BEST PICTURE,Alex Coco/Samantha Quan/Sean Baker,Anora,TRUE
2024,2025,97,BEST PICTURE,Nick Gordon/Brian Young/Andrew Morrison/D.J. Gugenheim/Brady Corbet,The Brutalist,FALSE
2024,2025,97,BEST PICTURE,Fred Berger/James Mangold/Alex Heineman,A Complete Unknown,FALSE
2024,2025,97,BEST PICTURE,Tessa Ross/Juliette Howell/Michael A. Jackman,Conclave,FALSE
2024,2025,97,BEST PICTURE,Mary Parent/Cale Boyter/Tanya Lapointe/Denis Villeneuve,Dune: Part Two,FALSE
2024,2025,97,BEST PICTURE,Pascal Caucheteux/Jacques Audiard,Emilia Pérez,FALSE
2024,2025,97,BEST PICTURE,Maria Carlota Bruno/Rodrigo Teixeira,I'm Still Here,FALSE
2024,2025,97,BEST PICTURE,Dede Gardner/Jeremy Kleiner/Joslyn Barnes,Nickel Boys,FALSE
2024,2025,97,BEST PICTURE,Coralie Fargeat/Tim Bevan/Eric Fellner,The Substance,FALSE
2024,2025,97,BEST PICTURE,Marc Platt,Wicked,FALSE
2024,2025,97,WRITING (Adapted Screenplay),James Mangold/Jay Cocks,A Complete Unknown,FALSE
2024,2025,97,WRITING (Adapted Screenplay),Peter Straughan,Conclave,TRUE
2024,2025,97,WRITING (Adapted Screenplay),Jacques Audiard/In collaboration with Thomas Bidegain/Léa Mysius/Nicolas Livecchi,Emilia Pérez,FALSE
2024,2025,97,WRITING (Adapted Screenplay),RaMell Ross/Joslyn Barnes,Nickel Boys,FALSE
2024,2025,97,WRITING (Adapted Screenplay),"Clint Bentley/Greg Kwedar/Clarence Maclin/John ""Divine G"" Whitfield",Sing Sing,FALSE
2024,2025,97,WRITING (Original Screenplay),Sean Baker,Anora,TRUE
2024,2025,97,WRITING (Original Screenplay),Brady Corbet/Mona Fastvold,The Brutalist,FALSE
2024,2025,97,WRITING (Original Screenplay),Jesse Eisenberg,A Real Pain,FALSE
2024,2025,97,WRITING (Original Screenplay),Moritz Binder/Tim Fehlbaum/Alex David,5-Sep,FALSE
2024,2025,97,WRITING (Original Screenplay),Coralie Fargeat,The Substance,FALSE
